;segment;name;time_of_day;location;weather;TYPE_VEHICLE_LASER;TYPE_SIGN_LASER;TYPE_VEHICLE_CAMERA;TYPE_PEDESTRIAN_CAMERA;TYPE_PEDESTRIAN_LASER;TYPE_CYCLIST_CAMERA;TYPE_CYCLIST_LASER
28;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;11.0;16.0;;;;
29;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;11.0;19.0;;;;
30;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;11.0;23.0;;;;
31;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;11.0;28.0;;;;
32;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;11.0;30.0;;;;
33;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;12.0;32.0;;;;
34;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;12.0;33.0;;;;
35;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;12.0;31.0;;;;
36;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;12.0;31.0;;;;
37;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;12.0;30.0;;;;
38;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;12.0;30.0;;;;
39;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;12.0;31.0;;;;
40;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;14.0;30.0;;;;
41;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;14.0;29.0;;;;
42;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;14.0;28.0;;;;
43;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;14.0;28.0;;;;
44;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;14.0;29.0;;;;
45;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;14.0;28.0;;;;
46;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;14.0;27.0;;;;
47;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;14.0;26.0;;;;
48;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;14.0;25.0;;;;
49;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;14.0;25.0;;;;
50;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;14.0;25.0;;;;
51;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;15.0;26.0;;;;
52;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;25.0;15.0;26.0;;;;
53;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;15.0;29.0;;;;
54;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;15.0;29.0;;;;
55;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;15.0;29.0;;;;
56;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;15.0;27.0;;;;
57;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;26.0;;;;
58;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;15.0;25.0;;;;
59;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;15.0;26.0;;;;
60;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;15.0;26.0;;;;
61;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;26.0;;;;
62;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;15.0;23.0;;;;
63;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;14.0;22.0;;;;
64;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;14.0;19.0;;;;
65;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;17.0;14.0;18.0;;;;
66;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;18.0;;;;
67;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;18.0;;;;
68;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;18.0;;;;
69;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;18.0;;;;
70;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;17.0;;;;
71;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;15.0;17.0;;;;
72;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;15.0;17.0;;;;
73;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;16.0;;;;
74;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;16.0;;;;
75;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;17.0;;;;
76;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;17.0;;;;
77;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;16.0;14.0;17.0;;;;
78;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
79;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;18.0;;;;
80;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;18.0;;;;
81;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;14.0;14.0;18.0;;;;
82;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;14.0;14.0;18.0;;;;
83;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;14.0;14.0;17.0;;;;
84;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
85;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
86;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
87;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
88;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
89;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;17.0;;;;
90;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;15.0;;;;
91;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;15.0;;;;
92;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;15.0;;;;
93;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;14.0;16.0;;;;
94;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;15.0;13.0;16.0;;;;
95;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;17.0;13.0;16.0;;;;
96;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;17.0;13.0;14.0;;;;
97;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
98;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
99;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
100;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
101;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;14.0;;;;
102;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;14.0;;;;
103;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;14.0;;;;
104;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
105;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
106;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;14.0;;;;
107;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
108;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
109;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;18.0;13.0;15.0;;;;
110;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;15.0;16.0;;;;
111;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;15.0;16.0;;;;
112;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;15.0;16.0;;;;
113;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;15.0;16.0;;;;
114;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;15.0;16.0;;;;
115;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;19.0;15.0;16.0;;;;
116;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;15.0;16.0;;;;
117;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;15.0;16.0;;;;
118;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;20.0;15.0;17.0;;;;
119;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;15.0;19.0;;;;
120;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;15.0;19.0;;;;
121;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;14.0;18.0;;;;
122;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;14.0;18.0;;;;
123;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;21.0;14.0;19.0;;;;
124;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;14.0;20.0;;;;
125;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;14.0;20.0;;;;
126;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;14.0;20.0;;;;
127;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;19.0;;;;
128;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;19.0;;;;
129;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;19.0;;;;
130;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;20.0;;;;
131;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;20.0;;;;
132;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;22.0;15.0;20.0;;;;
133;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;15.0;20.0;;;;
134;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;23.0;15.0;21.0;;;;
135;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;15.0;24.0;;;;
136;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;15.0;24.0;;;;
137;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;16.0;23.0;;;;
138;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;24.0;16.0;24.0;;;;
139;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;26.0;17.0;26.0;;;;
140;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;29.0;17.0;30.0;;;;
141;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;29.0;17.0;34.0;;;;
142;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;29.0;17.0;43.0;;;;
143;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;30.0;17.0;48.0;;;;
144;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;30.0;17.0;51.0;;;;
145;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;32.0;17.0;51.0;;;;
146;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;16.0;51.0;;;;
147;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;16.0;48.0;;;;
148;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;32.0;16.0;49.0;;;;
149;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;16.0;47.0;;;;
150;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;16.0;48.0;;;;
151;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;15.0;48.0;;;;
152;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;15.0;47.0;;;;
153;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;15.0;46.0;;;;
154;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;15.0;46.0;;;;
155;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;30.0;15.0;46.0;;;;
156;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;31.0;15.0;41.0;;;;
157;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;35.0;15.0;40.0;;;;
158;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;35.0;14.0;35.0;;;;
159;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;34.0;14.0;35.0;;;;
160;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;34.0;14.0;26.0;;;;
161;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;34.0;14.0;23.0;;;;
162;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;34.0;14.0;23.0;;;;
163;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;34.0;14.0;22.0;;;;
164;segment-10017090168044687777_6380_000_6400_000_with_camera_labels.tfrecord;10017090168044687777_6380_000_6400_000;Day;location_sf;sunny;34.0;14.0;24.0;;;;
